contribution_id,contribution_code,type,title,date_time,abstract,footnotes,session,session_code,page_number
170,THP36,Poster Presentation,RF measurements and performance tests at 4 K of,"Thursday, September 25, 2025 2:30 PM",cryomodule 1 cavities for HELIAC,"Funding Agency
Author: DZIUBA, Florian Dirk (GSI Helmholtz Centre for Heavy Ion Research)
Co-authors: BARTH, Winfried (GSI Helmholtz Centre for Heavy Ion Research) ;GETTMANN,
Viktor (GSI Helmholtz Centre for Heavy Ion Research) ;KUERZEDER, Thorsten (Helmholtz Institute
Mainz) ;LIST, Julian (Helmholtz Institute Mainz) ;MISKI-OGLU, Maksym (GSI Helmholtz Centre for
Heavy Ion Research) ;PODLECH, Holger (Goethe University Frankfurt) ;YARAMYSHEV, Stepan (GSI
Helmholtz Centre for Heavy Ion Research)
Presenter: DZIUBA, Florian Dirk (GSI Helmholtz Centre for Heavy Ion Research)
Session Classification: Thursday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 177",Thursday Poster Session,THP,178
171,THP34,Poster Presentation,Characterizing and controlling recovery and,"Thursday, September 25, 2025 2:30 PM",recrystallization in niobium for improved SRF cavity,"Funding Agency
U.S. Department of Energy, Office of High Energy Physics under Grant DE-SC0009960
Author: TALEFF, Eric (The University of Texas at Austin)
Co-authors: Ms BANERJEE, Sucharita (The University of Texas at Austin) ;Dr BENNETT, Thomas
(Sandia National Laboratories) ;BALACHANDRAN, Shreyas (Florida State University; National High
Magnetic Field Laboratory) ;CHETRI, Santosh (Florida State University; National High Magnetic Field
Laboratory) ;Mr BORITZ, Trent (Florida State University; National High Magnetic Field Laboratory) ;DHAKAL,
Pashupati (Thomas Jefferson National Accelerator Facility) ;Mr THUNE, Zack (Michigan State Univer-
sity);Prof. EISENLOHR, Philip (Michigan State University) ;LEE, Peter (National High Magnetic Field
Laboratory) ;Prof. BIELER, Thomas (Michigan State University)
September 29, 2025 Page 178",Thursday Poster Session,THP,179
172,MOP36,Poster Presentation,The fabrication of the 1.3 GHz single-cell cavities by,"Monday, September 22, 2025 2:30 PM",niobium materials with fine and medium grain sizes,"Funding Agency
Author: PARK, HeeSu (Kiswire Advanced Technology Ltd.)
Co-authors: HAN, Junho (Kiswire Advanced Technology Ltd.) ;HWANG, Jongmo (Korea University
Sejong Campus) ;KIM, Eun-San (Korea University Sejong Campus) ;DOHMAE, Takeshi (High Energy
Accelerator Research Organization) ;SAEKI, Takayuki (High Energy Accelerator Research Organiza-
tion);UMEMORI, Kensei (High Energy Accelerator Research Organization)
Presenter: PARK, HeeSu (Kiswire Advanced Technology Ltd.)
Session Classification: Monday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 180",Monday Poster Session,MOP,181
173,TUP56,Poster Presentation,Development of organic solvent electropolishing,"Tuesday, September 23, 2025 2:30 PM",Electropolishing (EP) is used for the surface treatment of Nb cavities used in superconducting,"Funding Agency
Author: GOTO, Takeyoshi (High Energy Accelerator Research Organization)
Presenter: GOTO, Takeyoshi (High Energy Accelerator Research Organization)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 181",Tuesday Poster Session,TUP,182
175,TUP48,Poster Presentation,Improvement of performance for Nb/Cu,"Tuesday, September 23, 2025 2:30 PM",hydroformed full-seamless cavity,"Funding Agency
Author: YAMANAKA, Masashi (High Energy Accelerator Research Organization)
Co-authors: ROSAZ, Guillaume (European Organization for Nuclear Research) ;ARAKI, Hayato
(High Energy Accelerator Research Organization)
Presenter: YAMANAKA, Masashi (High Energy Accelerator Research Organization)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 182",Tuesday Poster Session,TUP,183
176,MOP24,Poster Presentation,"Design, fabrication and concept for the surface","Monday, September 22, 2025 2:30 PM",treatment of the SRF cavity prototype for the CLIC,"Funding Agency
Author: BAFIA, Daniel (Fermi National Accelerator Laboratory)
Co-authors: GRUDIEV, Alexej (European Organization for Nuclear Research) ;SMITH, Davida
(Fermi National Accelerator Laboratory) ;EREMEEV, Grigory (Fermi National Accelerator Laboratory) ;HU,
Hannah (University of Chicago) ;SCIBOR, Karol (European Organization for Nuclear Research) ;BETEMPS,
Robin (European Organization for Nuclear Research) ;BARRIERE, Simon (European Organization for
Nuclear Research) ;DEMAZIERE, Thomas (European Organization for Nuclear Research) ;RING, Tim
(Fermi National Accelerator Laboratory)
Presenter: BAFIA, Daniel (Fermi National Accelerator Laboratory)
Session Classification: Monday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 183",Monday Poster Session,MOP,184
177,THP62,Poster Presentation,Improved calorimetric cavity measurement,"Thursday, September 25, 2025 2:30 PM",techniques for the HB650 prototype cryomodule for,"Funding Agency
This manuscript has been authored by FermiForward Discovery Group, LLC under Contract No.
89243024CSC000002 with the U.S. Department of Energy, Office of Science, Office of High Energy
Physics.
Author: HOLZBAUER, Jeremiah (Fermi National Accelerator Laboratory)
Co-authors: OZELIS, Joseph (Fermi National Accelerator Laboratory) ;Mr WIXSON, Adam (Fermi
National Accelerator Laboratory)
Presenter: HOLZBAUER, Jeremiah (Fermi National Accelerator Laboratory)
Session Classification: Thursday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 184",Thursday Poster Session,THP,185
178,TUP69,Poster Presentation,Design of an MTCA.4-Based LLRF tuning controller,"Tuesday, September 23, 2025 2:30 PM",for cryomodules at S3FEL,"Funding Agency
Author: ZHU, Jinfu (Institute of Advanced Science Facilities, Shenzhen)
Co-authors: DING, Hongli (Dalian Institute of Chemical Physics) ;Mr ZHANG, Zhiyuan (Institute of
Advanced Science Facilities, Shenzhen) ;LIU, Gangyang (Institute of Advanced Light Source Facilities
Shenzhen) ;YANG, Jiayue (Dalian Institute of Chemical Physics) ;Prof. ZHANG, Weiqing (Dalian
Institute of Chemical Physics)
Presenter: ZHU, Jinfu (Institute of Advanced Science Facilities, Shenzhen)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 185",Tuesday Poster Session,TUP,186
179,THP78,Poster Presentation,Preliminary design of continuous wave low-level RF,"Thursday, September 25, 2025 2:30 PM","In the Shenzhen Superconducting Soft X-ray Free Electron Laser (S3FEL), Continuous Wave (CW)","Funding Agency
Author: ZHANG, Zhiyuan (Institute of Advanced Science Facilities, Shenzhen)
Co-authors: ZHU, Jinfu (Institute of Advanced Science Facilities, Shenzhen) ;DING, Hongli (Dalian
Institute of Chemical Physics) ;HAN, Jiawei (Institute of Advanced Light Source Facilities Shenzhen) ;YANG,
Jiayue (Dalian Institute of Chemical Physics) ;ZHANG, Weiqing (Dalian Institute of Chemical Physics)
Presenter: ZHANG, Zhiyuan (Institute of Advanced Science Facilities, Shenzhen)
Session Classification: Thursday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 186",Thursday Poster Session,THP,187
180,MOP23,Poster Presentation,Strength evaluation of high-purity niobium single,"Monday, September 22, 2025 2:30 PM",crystals considering crystal orientation,"Funding Agency
Author: YAMANAKA, Masashi (High Energy Accelerator Research Organization)
Co-authors: Mr UMEZAWA, Hiroaki (The Graduate University for Advanced Studies, SOKENDAI) ;NISHIDA,
Naoshi (Tokyo Denkai Co., Ltd.)
Presenter: YAMANAKA, Masashi (High Energy Accelerator Research Organization)
Session Classification: Monday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 187",Monday Poster Session,MOP,188
181,TUP50,Poster Presentation,Fabrication of seamless single-cell copper elliptical,"Tuesday, September 23, 2025 2:30 PM",cavities through bulk-machining,"Funding Agency
Author: SAILLET, Alan (European Organization for Nuclear Research)
Co-authors: Mr ATIEH, Said (European Organization for Nuclear Research) ;Mr GARLASCHÈ,
Marco (European Organization for Nuclear Research) ;Mr GEISSER, Jean-Marie (European Organiza-
tion for Nuclear Research) ;Mr KOLENIC, Michal (European Organization for Nuclear Research) ;Dr
MOROS, Alice (European Organization for Nuclear Research) ;Mr NINET, Romain (European Orga-
nization for Nuclear Research) ;PEREZ FONTENLA, Ana Teresa (European Organization for Nuclear
Research) ;SCIBOR, Karol (European Organization for Nuclear Research) ;Mr SIDOROWICZ, Grzegorz
(European Organization for Nuclear Research)
Presenter: SAILLET, Alan (European Organization for Nuclear Research)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 188",Tuesday Poster Session,TUP,189
182,TUP03,Poster Presentation,"Design, fabrication, assembling and testing of","Tuesday, September 23, 2025 2:30 PM",QWR/HWR cryomodules for HIAF project,"Funding Agency
Author: BAI, Feng (Institute of Modern Physics)
Co-authors: NIU, Xiaofei (Institute of Modern Physics, Chinese Academy of Sciences) ;HE, Yuan (In-
stitute of Modern Physics, Chinese Academy of Sciences) ;WANG, Zhijun (Institute of Modern Physics,
Chinese Academy of Sciences)
Presenter: BAI, Feng (Institute of Modern Physics)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 189",Tuesday Poster Session,TUP,190
183,TUP59,Poster Presentation,Developments for the RF transmission system of the,"Tuesday, September 23, 2025 2:30 PM",The International Linear Collider (ILC) is a future linear collider that uses superconducting accel-,"Funding Agency
MEXT Development of key element technologies to improve the performance of future accelera-
tors program (JPMXP1423812204)
Author: JOSHI, Prakash (The Graduate University for Advanced Studies, SOKENDAI)
Co-authors: MATSUMOTO, Toshihiro (High Energy Accelerator Research Organization; The Gradu-
ate University for Advanced Studies, SOKENDAI) ;MICHIZONO, Shinichiro (High Energy Accelerator
Research Organization; The Graduate University for Advanced Studies, SOKENDAI) ;OMET, Mathieu
(High Energy Accelerator Research Organization; The Graduate University for Advanced Studies, SOK-
ENDAI)
Presenter: JOSHI, Prakash (The Graduate University for Advanced Studies, SOKENDAI)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 190",Tuesday Poster Session,TUP,191
184,THP77,Poster Presentation,Development of 1.5 GHz harmonic superconducting,"Thursday, September 25, 2025 2:30 PM",cavity and cryomodule,"Funding Agency
Author: MI, Zhenghui (Institute of High Energy Physics)
Co-authors: LIU, Baiqi (Institute of High Energy Physics) ;HE, Feisi (Institute of High Energy
Physics) ;ZHENG, Hongjuan (Institute of High Energy Physics) ;ZHAI, Jiyuan (Institute of High Energy
Physics) ;GE, Rui (Institute of High Energy Physics) ;JIN, Song (Institute of High Energy Physics) ;PAN,
Weimin (Chinese Academy of Sciences) ;YANG, Xiaochen (University of Science and Technology of
China) ;WEI, Yelong (University of Science and Technology of China)
Presenter: MI, Zhenghui (Institute of High Energy Physics)
Session Classification: Thursday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 191",Thursday Poster Session,THP,192
185,THP64,Poster Presentation,The development and application of expansion joints,"Thursday, September 25, 2025 2:30 PM","FLEXTAI LTD is located in Shenyang Economic and Technological Development Zone, Liaoning","Funding Agency
Author: HUANG, Kai (FLEXTAI LTD)
Presenter: HUANG, Kai (FLEXTAI LTD)
Session Classification: Thursday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 192",Thursday Poster Session,THP,193
187,THP30,Poster Presentation,Enhancing superconducting radio-frequency,"Thursday, September 25, 2025 2:30 PM",performance with high-throughput method-assisted,"Funding Agency
Author: DONG, Chao (Institute of High Energy Physics)
Co-author: SHA, Peng (Institute of High Energy Physics)
Presenter: DONG, Chao (Institute of High Energy Physics)
Session Classification: Thursday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 193",Thursday Poster Session,THP,194
188,THP28,Poster Presentation,The Non-dusting Vacuum system for the Beam line,"Thursday, September 25, 2025 2:30 PM",of 1.3GHz-9cell CryoModule,"Funding Agency
YIPA-CAS, Grant 2023017
Author: LIU, Baiqi (Institute of High Energy Physics)
Co-authors: PAN, Weimin (Chinese Academy of Sciences) ;HE, Feisi (Institute of High Energy
Physics) ;ZHAI, Jiyuan (Institute of High Energy Physics) ;JIN, Song (Institute of High Energy Physics) ;GE,
Rui (Institute of High Energy Physics) ;MI, Zhenghui (Institute of High Energy Physics) ;HE, Ping (In-
stitute of High Energy Physics)
Presenter: LIU, Baiqi (Institute of High Energy Physics)
Session Classification: Thursday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 194",Thursday Poster Session,THP,195
190,THP07,Poster Presentation,Q degradation in operation in ISAC-II SC linac,"Thursday, September 25, 2025 2:30 PM",Quality factor (Q) of SRF cavities is one of the essential parameters in continuous wave accelerator,"Funding Agency
Author: YAO, Zhongyuan (TRIUMF)
Co-authors: BJARNASON, Rowan (TRIUMF) ;CHEUNG, Johnson (TRIUMF) ;KEIR, James (TRI-
UMF) ;KISHI, David (TRIUMF) ;KIY, Spencer (TRIUMF) ;KOLB, Philipp (TRIUMF) ;LANG, Devon
(TRIUMF) ;LAXDAL, Robert (TRIUMF)
Presenter: YAO, Zhongyuan (TRIUMF)
Session Classification: Thursday Poster Session
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 195",Thursday Poster Session,THP,196
191,THP06,Poster Presentation,The operation of ARIEL e-LINAC RF system,"Thursday, September 25, 2025 2:30 PM",The 30 MeV section of the Advanced Rare Isotope Laboratory (ARIEL) electron linear accelerator (e-,"Funding Agency
Author: MA, Yanyun (TRIUMF)
Co-authors: KOLB, Philipp (TRIUMF) ;LAXDAL, Robert (TRIUMF) ;Mr PILETSKIY, Konstantin
(TRIUMF) ;Mr FU, Xiaoliang (TRIUMF) ;ZVYAGINTSEV, Vladimir (TRIUMF)
Presenter: MA, Yanyun (TRIUMF)
Session Classification: Thursday Poster Session
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 196",Thursday Poster Session,THP,197
192,THP08,Poster Presentation,Progress of prototype RFD crab cavity string,"Thursday, September 25, 2025 2:30 PM",assembly for HL-LHC at TRIUMF,"Funding Agency
Author: YAO, Zhongyuan (TRIUMF)
Co-authors: MATHESON, Ben (TRIUMF) ;WARAICH, Bhalwinder (TRIUMF) ;LANG, Devon (TRI-
UMF) ;KEIR, James (TRIUMF) ;LAW, Oliver (TRIUMF) ;KOLB, Philipp (TRIUMF) ;LAXDAL, Robert
(TRIUMF) ;SEKHON, Ruminder (TRIUMF)
Presenter: YAO, Zhongyuan (TRIUMF)
Session Classification: Thursday Poster Session
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 197",Thursday Poster Session,THP,198
193,TUP79,Poster Presentation,Photon frequency conversion in high-Q,"Tuesday, September 23, 2025 2:30 PM","superconducting resonators: axion electrodynamics,","[1] Z. Bogorad et al., Phys. Rev. Lett. 123, 021801 (2019).
[2] W. Heisenberg and H. Euler, Z. Phys. 98, 714 (1936).
[3] J. A. Sauls, Prog. Theor. Exp. Phys. 2022, 033I03 (2022).
[4] H. Ueki and J. A. Sauls, Prog. Theor. Exp. Phys. 2024, 123I01 (2024).
[5] C. Gao, and R. Harnik, J. High Energ. Phys. 2021, 53 (2021).
[6] A. Berlin et al., J. High Energ. Phys. 2020, 88 (2020).
Funding Agency
This research is supported by the U.S. Department of Energy, Office of Science, National Quantum
Information Science Research Centers, SQMS Center under contract number DE-AC02-07CH11359.
Author: UEKI, Hikaru (Louisiana State University)
Co-author: SAULS, James (Louisiana State University)
September 29, 2025 Page 198",Tuesday Poster Session,TUP,199
194,MOP58,Poster Presentation,Design of a 915 MHz conduction-cooled cryomodule,"Monday, September 22, 2025 2:30 PM","High-power, compact, continuous-wave (CW) linear electron accelerators with beam energies of","Funding Agency
Author: CIOVATI, Gianluigi (Thomas Jefferson National Accelerator Facility)
Co-authors: ARMSTRONG, Joshua (Thomas Jefferson National Accelerator Facility) ;CASTILLA,
Alejandro (Thomas Jefferson National Accelerator Facility) ;CHENG, Gary (Thomas Jefferson National
Accelerator Facility) ;COLLEY, Jason (Thomas Jefferson National Accelerator Facility) ;HARDING,
Keith (Thomas Jefferson National Accelerator Facility) ;HAYS, Gary (Thomas Jefferson National Accel-
erator Facility) ;VENNEKATE, Hannes (Thomas Jefferson National Accelerator Facility) ;LEWIS, Jacob
(Old Dominion University) ;RATHKE, John (TechSource (United States)) ;SCHULTHEISS, Thomas (TJS
Technologies LLC)
Presenter: VENNEKATE, Hannes (Thomas Jefferson National Accelerator Facility)
Session Classification: Monday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 200",Monday Poster Session,MOP,201
195,MOP62,Student Poster Presentation,Design and conditioning of a low thermal load,"Monday, September 22, 2025 2:30 PM",coupler for conduction-cooled accelerators,"Funding Agency
Author: SHEN, Haoyu (Peking University)
Co-authors: YAO, Zeqin (Peking University) ;Ms WANG, Xiaoxiao (Peking University) ;LIN, Lin
(Peking University) ;WANG, Fang (Peking University) ;HAO, Jiankui (Peking University) ;Mr QUAN,
Shengwen (Peking University) ;HUANG, Senlin (Peking University)
Presenter: SHEN, Haoyu (Peking University)
Session Classification: Monday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 201",Monday Poster Session,MOP,202
196,TUP72,Poster Presentation,Progress and challenges on SRF technology,"Tuesday, September 23, 2025 2:30 PM",development for PERLE,"Funding Agency
Author: MIYAZAKI, Akira (Université Paris-Saclay, CNRS/IN2P3, IJCLab)
Presenter: MIYAZAKI, Akira (Université Paris-Saclay, CNRS/IN2P3, IJCLab)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 202",Tuesday Poster Session,TUP,203
197,MOP10,Poster Presentation,France-Japan collaboration for high-Q / high-G SRF,"Monday, September 22, 2025 2:30 PM",High-performance SRF cavities are of central importance for many future projects and can only be,"Funding Agency
Author: MIYAZAKI, Akira (Université Paris-Saclay, CNRS/IN2P3, IJCLab)
Co-authors: FOUAIDY, Mohammed (Université Paris-Saclay, CNRS/IN2P3, IJCLab) ;GANDOLFO,
Nicolas (Université Paris-Saclay, CNRS/IN2P3, IJCLab) ;LONGUEVERGNE, David (Université Paris-Saclay,
CNRS/IN2P3, IJCLab) ;Dr OLRY, Guillaume (Laboratoire de Physique des 2 Infinis Irène Joliot-Curie) ;VANN-
SON, Mael (Laboratoire de Physique des 2 Infinis Irène Joliot-Curie) ;VOGT, Lê My (Laboratoire de
Physique des 2 Infinis Irène Joliot-Curie) ;Mr BAUDRIER, Matthieu (CEA Paris-Saclay) ;CENNI, En-
rico (Commissariat à l’Énergie Atomique et aux Énergies Alternatives) ;EOZÉNOU, Fabien (Commis-
sariat à l’Energie Atomique) ;JULLIEN, Grégoire (CEA Paris-Saclay) ;MAURICE, Luc (Commissariat
à l’Energie Atomique) ;HARA, Takafumi (High Energy Accelerator Research Organization) ;OMET,
Mathieu (High Energy Accelerator Research Organization) ;ITO, Hayato (High Energy Accelerator
Research Organization) ;UMEMORI, Kensei (High Energy Accelerator Research Organization)
Presenter: MIYAZAKI, Akira (Université Paris-Saclay, CNRS/IN2P3, IJCLab)
Session Classification: Monday Poster Session
September 29, 2025 Page 203",Monday Poster Session,MOP,204
199,THP40,Poster Presentation,Measurement of low accelerating gradients in 1.3,"Thursday, September 25, 2025 2:30 PM","During last few years, an extensive efforts for obtaining Q0 vs Eacc characteristic of SRF cavities","Funding Agency
Author: WIENCEK, Mateusz (Deutsches Elektronen-Synchrotron DESY)
Co-authors: BÜTTNER, Thorsten (Deutsches Elektronen-Synchrotron DESY) ;KASPRZAK, Karol
(Deutsches Elektronen-Synchrotron DESY)
Presenter: WIENCEK, Mateusz (Deutsches Elektronen-Synchrotron DESY)
Session Classification: Thursday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 205",Thursday Poster Session,THP,206
200,THP37,Poster Presentation,Interface studies of Nb-AlN-NbTiN multilayers,"Thursday, September 25, 2025 2:30 PM",Superconducting –Insulating –Superconducting (SIS) multilayers offer a promising approach to sur-,"†A. Gurevich, “Enhancement of rf breakdown field of superconductors by multilayer coating ”,
Applied Physics Letters 88, 12511 (2006)
‡I. González Díaz-Palacio, M.Wenskat, G. K. Deyu, W. Hillert, R. H. Blick, and R. Zierold, “Thermal
annealing of superconducting niobium titanium nitride thin films deposited by plasma-enhanced
atomic layer deposition ”, Journal of Applied Physics 134, 035301 (2023)
Funding Agency
Author: GONZÁLEZ DÍAZ-PALACIO, Isabel (Universität Hamburg)
Co-authors: MOROS, Alice (European Organization for Nuclear Research) ;MACPHERSON, Alick
(European Organization for Nuclear Research) ;STIERLE, Andreas (Universität Hamburg; Deutsches
Elektronen-Synchrotron DESY) ;TURNER, Daniel (European Organization for Nuclear Research) ;REYES,
David (École Polytechnique Fédérale de Lausanne) ;Dr DEYU, Getnet Kacha (Universität Hamburg) ;NOEI,
Heshmat (Deutsches Elektronen-Synchrotron DESY) ;PREECE, Lea (Universität Hamburg) ;WEN-
SKAT, Marc (Universität Hamburg) ;GARCÍA BLANCO, Miguel (Deutsches Elektronen-Synchrotron
DESY; Universität Hamburg) ;HILLERT, Wolfgang (Universität Hamburg)
September 29, 2025 Page 206",Thursday Poster Session,THP,207
201,MOP22,Poster Presentation,Progress in Nb3Sn vapor diffusion method for,"Monday, September 22, 2025 2:30 PM",single-cell cavities at KEK,"Funding Agency
This work was supported by 【MEXT Development of key element technologies to improve the
performance of future accelerators Program 】Japan Grant Number JPMXP1423812204.
Author: ITO, Hayato (High Energy Accelerator Research Organization)
Co-authors: YAMADA, Tomohiro (High Energy Accelerator Research Organization) ;UMEMORI,
Kensei (High Energy Accelerator Research Organization) ;SAKAI, Hiroshi (High Energy Accelerator
Research Organization)
Presenter: ITO, Hayato (High Energy Accelerator Research Organization)
Session Classification: Monday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 208",Monday Poster Session,MOP,209
202,MOP01,Poster Presentation,HOM study for CEPC cavities: HOM damping and,"Monday, September 22, 2025 2:30 PM","CEPC is engineered to function in four distinct operational modes (Higgs, W, Z-pole, and t-tbar),","Funding Agency
Author: ZHENG, Hongjuan (Institute of High Energy Physics)
Co-authors: GAO, Jie (Chinese Academy of Sciences) ;ZHAI, Jiyuan (Institute of High Energy
Physics)
Presenter: ZHENG, Hongjuan (Institute of High Energy Physics)
Session Classification: Monday Poster Session
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 209",Monday Poster Session,MOP,210
203,TUP29,Student Poster Presentation,Experimental study on deposition of Nb3Sn thin,"Tuesday, September 23, 2025 2:30 PM",films on 6 GHz copper half-cell using Co-sputtering,"Funding Agency
IHEP
Author: KAN, Jiawen (Institute of High Energy Physics)
Co-authors: ZHANG, Pei (Institute of High Energy Physics) ;XIN, Tianmu (Institute of High Energy
Physics)
Presenter: KAN, Jiawen (Institute of High Energy Physics)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 210",Tuesday Poster Session,TUP,211
204,TUP30,Poster Presentation,Towards Nb3Sn coated copper cavities for energy,"Tuesday, September 23, 2025 2:30 PM",efficient SRF applications,"Funding Agency
German Research Foundation (DFG), project ID 264883531.
BMFTR, grant nos. 05H21RDRB1 and 05H24RDB.
Author: ALFF, Lambert (Technical University of Darmstadt)
Co-authors: Dr ARZUMANOV, Alexey (Technical University of Darmstadt) ;Mr FARHOOD, Amir
(Technical University of Darmstadt) ;MAJOR, Marton (Technical University of Darmstadt)
Presenter: ALFF, Lambert (Technical University of Darmstadt)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 211",Tuesday Poster Session,TUP,212
205,THP63,Poster Presentation,RF in-situ heating of a single and nine-cell 1.3 GHz,"Thursday, September 25, 2025 2:30 PM",High acceleration gradients Eacc and high quality factors Q0 can be achieved by heat treatments,"[1] L. Steder et al.,2024 , https://doi.org/10.48550/arXiv.2407.12570
[2] S. Posen et al.,2020 , Phys. Rev. Applied 13, 014024
[3] H.-W. Glock et al.,2024, https://doi.org/10.48550/arXiv.2412.13628
Funding Agency
This work was funded by the Helmholtz Association within the MT ARD and the European XFEL
R&D Program
Author: GOEDECKE, Julia (Deutsches Elektronen-Synchrotron DESY)
Co-authors: BÜTTNER, Thorsten (Deutsches Elektronen-Synchrotron DESY) ;KASPRZAK, Karol
(Deutsches Elektronen-Synchrotron DESY) ;MARCONATO, Giovanni (Universität Hamburg) ;RESCHKE,
Detlef (Deutsches Elektronen-Synchrotron DESY) ;WIENCEK, Mateusz (Deutsches Elektronen-Syn-
chrotron DESY) ;SULIMOV, Alexey (Deutsches Elektronen-Synchrotron DESY) ;WEISE, Hans (Deutsches
Elektronen-Synchrotron DESY)
Presenter: GOEDECKE, Julia (Deutsches Elektronen-Synchrotron DESY)
September 29, 2025 Page 212",Thursday Poster Session,THP,213
206,THP32,Poster Presentation,Activities on medium grain niobium at DESY,"Thursday, September 25, 2025 2:30 PM","Within the ITN (ILC Technology Network) activity led by KEK, the so-called “Medium Grain Nio-","[1] doi:10.18429/JACoW-SRF2021-MOPCAV004
[2] doi:10.18429/JACoW-SRF2021-MOPCAV012
[3] doi:10.18429/JACoW-SRF2023-WEIXA04
Funding Agency
This work was supported by the Helmholtz Association within the topic Accelerator research and
Development (ARD) of the Matter and Technologies (MT) Program.
Author: RESCHKE, Detlef (Deutsches Elektronen-Synchrotron DESY)
Co-authors: ARNOLD, Svenja (Deutsches Elektronen-Synchrotron DESY) ;BATE, Christopher
(Deutsches Elektronen-Synchrotron DESY) ;ERMAKOV, Alexey (Deutsches Elektronen-Synchrotron
DESY) ;ERMAKOVA, Elena (Deutsches Elektronen-Synchrotron DESY) ;GOEDECKE, Julia (Deutsches
Elektronen-Synchrotron DESY) ;IVERSEN, Jens (Deutsches Elektronen-Synchrotron DESY) ;KASPRZAK,
Karol (Deutsches Elektronen-Synchrotron DESY) ;KLINKE, Daniel (Deutsches Elektronen-Synchrotron
DESY) ;MUHS, Andrea (Deutsches Elektronen-Synchrotron DESY) ;STEDER, Lea (Deutsches Elek-
tronen-Synchrotron DESY) ;THIE, Jan-Hendrik (Deutsches Elektronen-Synchrotron DESY) ;TRELLE,
Lennart (Deutsches Elektronen-Synchrotron DESY) ;WIENCEK, Mateusz (Deutsches Elektronen-Syn-
chrotron DESY)
Presenter: RESCHKE, Detlef (Deutsches Elektronen-Synchrotron DESY)
Session Classification: Thursday Poster Session
September 29, 2025 Page 214",Thursday Poster Session,THP,215
207,THP09,Poster Presentation,Magnetic field sensitivity of a QWR under different,"Thursday, September 25, 2025 2:30 PM","The sensitivity of the surface resistance of SRF cavities depends on several aspects, such as the spe-","Funding Agency
Author: KOLB, Philipp (TRIUMF)
Co-authors: YAO, Zhongyuan (TRIUMF) ;Mr STOKES, Will (TRIUMF; University of Victoria) ;LAX-
DAL, Robert (TRIUMF)
Presenter: KOLB, Philipp (TRIUMF)
Session Classification: Thursday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 216",Thursday Poster Session,THP,217
